EmployeeKey,ParentEmployeeKey,EmployeeNationalIDAlternateKey,ParentEmployeeNationalIDAlternateKey,SalesTerritoryKey,FirstName,LastName,MiddleName,NameStyle,Title,HireDate,BirthDate,LoginID,EmailAddress,Phone,MaritalStatus,EmergencyContactName,EmergencyContactPhone,SalariedFlag,Gender,PayFrequency,BaseRate,VacationHours,SickLeaveHours,CurrentFlag,SalesPersonFlag,DepartmentName,StartDate,EndDate,Status
1,18,14417807,NULL,11,Guy,Gilbert,R,0,Production Technician - WC60,1/28/2006,11/12/1981,adventure-works\guy1,guy1@adventure-works.com,320-555-0195,M,Guy Gilbert,320-555-0195,0,M,1,12.45,21,30,1,0,Production,1/28/2006,NULL,Current
2,7,253022876,NULL,11,Kevin,Brown,F,0,Marketing Assistant,8/26/2006,12/01/1986,adventure-works\kevin0,kevin0@adventure-works.com,150-555-0189,S,Kevin Brown,150-555-0189,0,M,2,13.4615,42,41,1,0,Marketing,8/26/2006,NULL,Current
3,14,509647174,NULL,11,Roberto,Tamburello,NULL,0,Engineering Manager,6/11/2007,6/12/1974,adventure-works\roberto0,roberto0@adventure-works.com,212-555-0187,M,Roberto Tamburello,212-555-0187,1,M,2,43.2692,2,21,1,0,Engineering,6/11/2007,NULL,Current
4,3,112457891,NULL,11,Rob,Walters,NULL,0,Senior Tool Designer,7/05/2007,7/23/1974,adventure-works\rob0,rob0@adventure-works.com,612-555-0100,S,Rob Walters,612-555-0100,0,M,2,29.8462,48,80,1,0,Tool Design,7/05/2007,12/28/2009,NULL
5,3,112457891,NULL,11,Rob,Walters,NULL,0,Senior Tool Designer,7/05/2007,7/23/1974,adventure-works\rob0,rob0@adventure-works.com,612-555-0100,S,Rob Walters,612-555-0100,0,M,2,29.8462,48,80,1,0,Tool Design,12/28/2009,NULL,Current
6,267,480168528,NULL,11,Thierry,D'Hers,B,0,Tool Designer,7/11/2007,2/26/1959,adventure-works\thierry0,thierry0@adventure-works.com,168-555-0183,M,Thierry D'Hers,168-555-0183,0,M,2,25,9,24,1,0,Tool Design,7/11/2007,NULL,Current
7,112,24756624,NULL,11,David,Bradley,M,0,Marketing Manager,7/20/2007,10/17/1974,adventure-works\david0,david0@adventure-works.com,913-555-0172,S,David Bradley,913-555-0172,1,M,2,37.5,40,40,1,0,Marketing,7/20/2007,2/11/2009,NULL
8,112,24756624,NULL,11,David,Bradley,M,0,Marketing Manager,7/20/2007,10/17/1974,adventure-works\david0,david0@adventure-works.com,913-555-0172,S,David Bradley,913-555-0172,1,M,2,37.5,40,40,1,0,Marketing,2/12/2009,NULL,Current
9,23,309738752,NULL,11,JoLynn,Dobney,M,0,Production Supervisor - WC60,7/26/2007,8/16/1955,adventure-works\jolynn0,jolynn0@adventure-works.com,903-555-0145,S,JoLynn Dobney,903-555-0145,0,F,2,25,82,61,1,0,Production,7/26/2007,NULL,Current
10,189,690627818,NULL,11,Ruth,Ellerbrock,Ann,0,Production Technician - WC10,8/06/2007,1/03/1956,adventure-works\ruth0,ruth0@adventure-works.com,145-555-0130,M,Ruth Ellerbrock,145-555-0130,0,F,1,13.45,83,61,1,0,Production,8/06/2007,NULL,Current
